gde_nr,gde_name,Kanton,Anb_1_change_in_prozent,Anb_1_differenz,Anb_1_entwicklung,Anb_1_gruppen,Anb_1_Name,Anb_1_preis_2018,Anb_1_preis_2019,Anb_1_preis_2020,Anb_1_preis_2021,Anb_1_preis_2022,Anb_1_preis_2023,Anb_1_preis_pro_2022,Anb_1_preis_pro_2023,Anb_1_rang,Anb_1_rang_preis_pro_2023,Anb_1_verbrauch,Anb_2_change_in_prozent,Anb_2_differenz,Anb_2_entwicklung,Anb_2_gruppen,Anb_2_Name,Anb_2_preis_2018,Anb_2_preis_2019,Anb_2_preis_2020,Anb_2_preis_2021,Anb_2_preis_2022,Anb_2_preis_2023,Anb_2_preis_pro_2022,Anb_2_preis_pro_2023,Anb_2_rang,Anb_2_rang_preis_pro_2023,Anb_2_verbrauch,Anb_3_change_in_prozent,Anb_3_differenz,Anb_3_entwicklung,Anb_3_gruppen,Anb_3_Name,Anb_3_preis_2018,Anb_3_preis_2019,Anb_3_preis_2020,Anb_3_preis_2021,Anb_3_preis_2022,Anb_3_preis_2023,Anb_3_preis_pro_2022,Anb_3_preis_pro_2023,Anb_3_rang,Anb_3_rang_preis_pro_2023,Anb_3_verbrauch,change_in_perc_schnitt,anzahl_anbieter
14,Wettswil am Albis,ZH,10,-135,12.236,2,Elektrizitätswerke des Kantons Zürich EKZ,18,19,15,18,30,27,1350,1215,1743,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1
21,Adlikon,ZH,22.22,180,3.028,3,Elektrizitätswerke des Kantons Zürich EKZ,22,30,25,26,18,22,810,990,1078,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,1
22,Benken (ZH),ZH,11.11,135,8.048,2,Elektrizitätsversorgung Benken,27,29,15,18,27,30,1215,1350,1677,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,1
23,Berg am Irchel,ZH,6.67,45,-2.064,1,Elektrizitätswerke des Kantons Zürich EKZ,22,26,28,30,15,16,675,720,1927,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,1
24,Buch am Irchel,ZH,3.33,-45,12.712,1,Elektrizitätswerke des Kantons Zürich EKZ,20,29,18,26,30,29,1350,1305,2186,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,1
25,Dachsen,ZH,6.9,-90,16.958,1,Elektrizitätswerke des Kantons Zürich EKZ,17,28,16,23,29,27,1305,1215,1908,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1
26,Dorf,ZH,28.57,-360,-1.31,4,Elektrizitätswerke des Kantons Zürich EKZ,27,17,25,25,28,20,1260,900,805,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.57,1
27,Feuerthalen,ZH,64.71,495,9.138,5,Elektrizitätswerke des Kantons Zürich EKZ,22,21,26,21,17,28,765,1260,122,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.71,1
28,Flaach,ZH,42.86,405,11.544,5,Elektrizitätswerke des Kantons Zürich EKZ,19,19,23,26,21,30,945,1350,360,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.86,1
29,Flurlingen,ZH,38.46,-450,-8.428,4,Elektrizitätswerke des Kantons Zürich EKZ,30,20,19,24,26,16,1170,720,476,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.46,1
30,Andelfingen,ZH,4,-45,3.474,1,Elektrizitätswerk Andelfingen,22,16,20,22,25,24,1125,1080,2105,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1
31,Henggart,ZH,0,0,-9.026,1,Elektrizitätswerke des Kantons Zürich EKZ,30,28,27,19,18,18,810,810,2196,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
32,Humlikon,ZH,26.32,225,15.376,4,Elektrizitätswerke des Kantons Zürich EKZ,19,30,15,25,19,24,855,1080,915,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.32,1
33,Kleinandelfingen,ZH,86.67,585,13.384,5,Elektrizitätswerke des Kantons Zürich EKZ,19,22,18,16,15,28,675,1260,32,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.67,1
34,Laufen-Uhwiesen,ZH,19.05,-180,5.902,3,Elektrizitätswerke des Kantons Zürich EKZ,17,25,16,24,21,17,945,765,1256,1893,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.05,1
35,Marthalen,ZH,31.58,270,15.516,4,Elektrizitätsgenossenschaft Marthalen,16,30,25,24,19,25,855,1125,707,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.58,1
37,Ossingen,ZH,42.86,-540,-2.444,5,Elektrizitätswerke des Kantons Zürich EKZ,29,20,24,16,28,16,1260,720,360,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.86,1
38,Rheinau,ZH,11.76,90,0.413999999999999,2,Elektrizitätswerke des Kantons Zürich EKZ,29,26,15,27,17,19,765,855,1642,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76,1
39,Thalheim an der Thur,ZH,26.32,225,14.68,4,Elektrizitätswerke des Kantons Zürich EKZ,16,20,30,16,19,24,855,1080,915,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.32,1
40,Trüllikon,ZH,0,0,5.916,1,Elektrizitätswerke des Kantons Zürich EKZ,23,26,16,20,26,26,1170,1170,2196,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
41,Truttikon,ZH,26.32,225,2.564,4,Elektrizitätswerke des Kantons Zürich EKZ,23,24,28,21,19,24,855,1080,915,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.32,1
43,Volken,ZH,8.7,-90,9.426,2,Elektrizitätswerke des Kantons Zürich EKZ,15,24,24,24,23,21,1035,945,1804,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,1
51,Bachenbülach,ZH,21.05,-180,-6.984,3,Elektrizitätswerke des Kantons Zürich EKZ,23,20,20,24,19,15,855,675,1135,2201,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.05,1
52,Bassersdorf,ZH,30,270,1.914,4,Elektrizitätswerke des Kantons Zürich EKZ,27,22,29,23,20,26,900,1170,758,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1
53,Bülach,ZH,6.25,-45,-3.438,1,Elektrizitätswerke des Kantons Zürich EKZ,27,15,20,29,16,15,720,675,1949,2201,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,1
54,Dietlikon,ZH,34.78,-360,-0.3,4,Gemeindewerke Dietlikon,21,30,24,16,23,15,1035,675,592,2201,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.78,1
55,Eglisau,ZH,37.5,270,-0.412,4,Elektrizitätswerke des Kantons Zürich EKZ,26,26,27,25,16,22,720,990,509,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,1
56,Embrach,ZH,39.29,-495,-1.968,5,Elektrizitätswerke des Kantons Zürich EKZ,27,16,16,26,28,17,1260,765,459,1893,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.29,1
57,Freienstein-Teufen,ZH,0,0,-4.456,1,Elektrizitätswerke des Kantons Zürich EKZ,29,17,22,30,16,16,720,720,2196,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
58,Glattfelden,ZH,45,405,7.12,5,Elektrizitätswerke des Kantons Zürich EKZ,27,28,15,20,20,29,900,1305,314,132,4500,6.67,45,-5.912,1,Genossenschaft Licht- und Kraftwerke Glattfelden,26,23,28,28,15,16,675,720,1927,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.835,2
59,Hochfelden,ZH,11.54,135,12.214,2,Elektrizitätswerke des Kantons Zürich EKZ,17,23,26,29,26,29,1170,1305,1664,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.54,1
60,Höri,ZH,22.22,180,-3.942,3,Elektrizitätswerke des Kantons Zürich EKZ,30,30,30,19,18,22,810,990,1078,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,1
61,Hüntwangen,ZH,11.76,90,2.058,2,Elektrizitätswerke des Kantons Zürich EKZ,19,15,20,16,17,19,765,855,1642,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76,1
62,Kloten,ZH,37.5,270,3.174,4,Industrielle Betriebe Kloten AG,28,26,18,29,16,22,720,990,509,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,1
63,Lufingen,ZH,57.89,495,7.614,5,Elektrizitätswerke des Kantons Zürich EKZ,26,20,27,21,19,30,855,1350,184,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.89,1
64,Nürensdorf,ZH,4.17,45,2.264,1,Elektrizitätswerke des Kantons Zürich EKZ,24,22,29,23,24,25,1080,1125,2094,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,1
65,Oberembrach,ZH,20,180,6.272,3,Elektrizitätswerke des Kantons Zürich EKZ,20,18,18,26,20,24,900,1080,1187,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1
67,Rafz,ZH,0,0,12.702,1,Elektrizitätswerke des Kantons Zürich EKZ,15,28,26,24,22,22,990,990,2196,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
68,Rorbas,ZH,43.75,315,3.76,5,Elektrizitätswerke des Kantons Zürich EKZ,24,30,19,21,16,23,720,1035,343,1030,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.75,1
69,Wallisellen,ZH,20,180,6.9,3,die werke versorgung wallisellen ag,24,16,29,26,20,24,900,1080,1187,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1
70,Wasterkingen,ZH,14.29,135,8.906,2,Elektrizitätswerke des Kantons Zürich EKZ,28,15,30,18,21,24,945,1080,1490,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.29,1
71,Wil (ZH),ZH,3.7,45,12.73,1,Elektrizitätswerke des Kantons Zürich EKZ,19,22,16,28,27,28,1215,1260,2131,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,1
72,Winkel,ZH,0,0,20.66,1,Elektrizitätswerke des Kantons Zürich EKZ,19,15,26,15,29,29,1305,1305,2196,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
81,Bachs,ZH,52.94,405,0.396000000000001,5,Elektrizitätswerke des Kantons Zürich EKZ,30,26,26,23,17,26,765,1170,220,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.94,1
82,Boppelsen,ZH,7.69,90,6.942,2,Elektrizitätswerke des Kantons Zürich EKZ,29,28,30,15,26,28,1170,1260,1853,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69,1
83,Buchs (ZH),ZH,13.04,135,14.342,2,Elektrizitätswerke des Kantons Zürich EKZ,16,20,15,25,23,26,1035,1170,1576,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.04,1
84,Dällikon,ZH,33.33,-405,-2.584,4,Elektrizitätswerke des Kantons Zürich EKZ,30,27,23,15,27,18,1215,810,612,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,1
85,Dänikon,ZH,6.67,45,-9.974,1,Elektrizitätswerke des Kantons Zürich EKZ,29,20,16,17,15,16,675,720,1927,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,1
86,Dielsdorf,ZH,0,0,12.968,1,Elektrizitätswerke des Kantons Zürich EKZ,17,27,17,25,24,24,1080,1080,2196,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
87,Hüttikon,ZH,4.35,-45,2.19,1,Elektrizitätswerke des Kantons Zürich EKZ,25,17,24,17,23,22,1035,990,2078,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,1
88,Neerach,ZH,12.5,90,-4.526,2,Elektrizitätswerke des Kantons Zürich EKZ,26,19,25,19,16,18,720,810,1592,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,1
89,Niederglatt,ZH,44.83,-585,8.038,5,Elektrizitätswerke des Kantons Zürich EKZ,16,24,19,18,29,16,1305,720,320,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.83,1
90,Niederhasli,ZH,6.67,45,-5.908,1,Elektrizitätswerke des Kantons Zürich EKZ,26,22,29,26,15,16,675,720,1927,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,1
91,Niederweningen,ZH,44.44,-540,1.482,5,Elektrizitätswerke des Kantons Zürich EKZ,22,30,17,27,27,15,1215,675,327,2201,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,1
92,Oberglatt,ZH,68.75,495,6.412,5,Politische Gemeinde Oberglatt,27,19,23,15,16,27,720,1215,96,429,4500,26.09,-270,-5.122,3,Elektrizitätswerke des Kantons Zürich EKZ,30,23,17,29,23,17,1035,765,923,1893,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.42,2
93,Oberweningen,ZH,15.38,-180,1.836,2,Elektrizitätswerke des Kantons Zürich EKZ,23,18,27,26,26,22,1170,990,1445,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.38,1
94,Otelfingen,ZH,42.31,-495,-9.12,5,Elektrizitätsgenossenschaft Otelfingen,30,20,25,23,26,15,1170,675,374,2201,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.31,1
95,Regensberg,ZH,28.57,270,1.354,4,Elektrizitätswerke des Kantons Zürich EKZ,29,26,19,16,21,27,945,1215,805,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.57,1
96,Regensdorf,ZH,15.79,-135,-1.94,2,Elektrizitätswerke des Kantons Zürich EKZ,20,27,26,18,19,16,855,720,1426,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.79,1
